UPE | Compare Intel® Products
03/15/2024 03:19:10 PM
,Intel® Xeon® Processor E5-2650 v2 (20M Cache- 2.60 GHz)

Essentials
Product Collection,Intel® Xeon® Processor E5 v2 Family
Code Name,Products formerly Ivy Bridge EP
Vertical Segment,Server
Processor Number,E5-2650V2
Lithography,22 nm
Recommended Customer Price,$1166.00-$1171.00

CPU Specifications
Total Cores,8
Total Threads,16
Max Turbo Frequency,3.40 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.40 GHz
Processor Base Frequency,2.60 GHz
Cache,20 MB Intel® Smart Cache
Bus Speed,8 GT/s
# of QPI Links,2
TDP,95 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q3'13
Supply Status,Discontinued
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Tuesday |  June 30 |  2020
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),768 GB
Memory Types,DDR3 800/1066/1333/1600/1866
Max # of Memory Channels,4
Max Memory Bandwidth,59.7 GB/s
Physical Address Extensions,46-bit
ECC Memory Supported   ‡,Yes

Expansion Options
Scalability,2S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,x4 |  x8 |  x16
Max # of PCI Express Lanes,40

Package Specifications
Sockets Supported,FCLGA2011
Max CPU Configuration,2
TCASE,75°C
Package Size,52.5mm x 51mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® AVX
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Intel® Demand Based Switching,Yes
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,No
Intel® Identity Protection Technology ‡,No

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
